story_ID,story
스토리,내용
string,string
Story_0000,책장을 지나치다 빛이 나는 진보라색 책을 발견한다. 마법책에서나 볼 것 같은 글씨체로 적힌 ‘RYTA’라는 제목 아래 적힌 글을 읽어본다.\n 『‘동화’\c 당신은 동화를 어떻게 생각하시나요? 어릴 적 읽었던 유치한 이야기? 아니면 상상력을 자극하는 동심 가득한 이야기? ···』
Story_0004,뒤에는 읽어볼 것도 없다.\n결국 동심으로 돌아가 한 번 상상력을 자극하라는 이야기겠지.\n쓸데없는 책을 읽으려고 했다는 생각에 책을 다시 원래 자리로 되돌려놓는다.
Story_0006,『··· 사실 어떻게 생각하든 상관없습니다. 지금부턴 어떻게 생각하든지간에 당신은 이 ‘리타(ryta)’에서 이야기를 새로 써가야할 테니까요.』\n1시간 정도 더 도서관에서 책을 보다가 오늘은 어떠한 책도 빌리지 않고 밖으로 나선다. \n
Story_0008,분수? 언제부터 도서관 앞에 분수가 있었지?\n분명히 도서관을 나가면 돌계단이 보이고 주차장이 보여야 하는데 지금 눈 앞에 보이는 건 분수다.
Story_0010,눈 앞에 있는 건 도서관의 유리문이 아니라 어떤 집의 나무문이다.\n당황스럽지만 천천히 계단을 내려가 다시 그 문을 바라보지만 그 문은 내가 열고 나왔던 도서관 문이 아니다.\n“거기\c 남의 집 앞에서 뭐하셔?”
Story_0012,“무슨 소리야. 여기 우리 집이야\c 내 집.”
Story_0014,“우리 집이라니까? 리타 로도드 1번가 1에 있는 내 집.”\n리타(ryta)\c 로도드(rhodode).\n리타? 어디서 들어봤지?\n그럼 일단 여긴 대한민국이 아닌건가.\n혼란스러워 잠시 멍을 때리자 다시 집주인이 말을 건다. \n“옷 보니까 빨간 모자님 보러 왔나 본데 여기 빨간 모자님 집 아니야. 곧 있으면 분수대 앞에 오실 거야. 좀만 기다려봐.”
Story_0017,지금에서야 입고 있는 옷을 바라보니 집주인처럼 빨간 망토를 두르고 갈색 가방을 매고 있다.\n도저히 지금의 상황을 이해할 수 없어 잠시 머리를 굴리는 동안 집주인이 툭툭 건들더니 손가락으로 반대편을 가리킨다.\n그곳을 쳐다보자 빨간 망토를 두른 사람들이 우르르 모여있다.
Story_0018,앞에 서 있는 집주인부터 주변을 둘러보았을 때 보이는 사람들까지 모두가 빨간 망토를 두르고 있다.\n도저히 지금의 상황을 이해할 수 없어 잠시 머리를 굴리는 동안 집주인이 툭툭 건들더니 손가락으로 반대편을 가리킨다.\n그곳을 쳐다보자 빨간 망토를 두른 사람들이 우르르 모여있다.
Story_0020,상황 파악이 되지는 않아 멍한 상태로 사람들에게 천천히 걸어간다.\n북적북적하게 몰려있는 사람들의 틈에 다른 사람들과 다르게 더 밝은 빨간색의 망토가 보인다.\n그 망토의 주인을 보기 위해 틈을 비집고 들어가려고 하지만 너무나 많은 사람들이 계속 몰려들어 보는 것이 쉽지 않다.